Yr/Seas ,Host ,Nationalities ,Leader (s) ,Route(s) ,Result ,Smtrs ,Dead ,Exped ID 
2000 Spr,Nepal,"USA, Canada",Vernon Tejas,S Col-SE Ridge,Success,3,,EVER-001-11
2000 Spr,Nepal,Nepal,Babu Tsering (Babu Chiri),S Col-SE Ridge,Success,2,,EVER-001-12
2000 Spr,Nepal,Nepal,Bhakta Bahadur Thakuri,S Col-SE Ridge,"Illness, AMS",,,EVER-001-13
2000 Spr,Nepal,USA,Robert Hoffman,S Col-SE Ridge,Success,13,,EVER-001-14
2000 Spr,Nepal,"USA, Austria, Pakistan",Christine Boskoff,S Col-SE Ridge,Success,7,,EVER-001-15
2000 Spr,Nepal,Nepal,Lhakpa Sherpa,S Col-SE Ridge,Success,4,,EVER-001-16
2000 Spr,Nepal,Canada,Byron Smith,S Col-SE Ridge,Success,8,,EVER-001-17
2000 Spr,Nepal,Canada,Ben Webster,S Col-SE Ridge,Success,1,,EVER-001-18
2000 Spr,Nepal,"USA, Australia",Robert Link,S Col-SE Ridge,Success,5,,EVER-001-19
2000 Spr,Nepal,"UK, Canada, USA, Yugoslavia",Henry Todd,S Col-SE Ridge,Success,7,,EVER-001-20
2000 Spr,Nepal,S Korea,Son Joong-Ho,S Col-SE Ridge,Success,2,,EVER-001-21
2000 Spr,Nepal,Canada,Gabriel Filippi,S Col-SE Ridge,Bad Weather,,,EVER-001-22
2000 Spr,Nepal,USA,Saeed Toossi,S Col-SE Ridge,Success,2,,EVER-001-23
2000 Spr,Nepal,Mexico,Hugo Rodriguez,S Col-SE Ridge,Bad Weather,,,EVER-001-24
2000 Spr,Nepal,USA,Bill Zachary,S Col-SE Ridge,Route Difficulty,,,EVER-001-25
2000 Spr,Nepal,"New Zealand, Japan, USA",David Hiddleston,S Col-SE Ridge,Lack of Supplies,,,EVER-001-26
2000 Spr,Nepal,Canada,Jeff Warden,S Col-SE Ridge,"Illness, AMS",,,EVER-001-27
2000 Spr,China,"Japan, Australia",Tosio Nakamura,N Col-NE Ridge,Success,10,,EVER-001-28
2000 Spr,China,Japan,Koichi Ezaki,N Col-NE Ridge,Success,5,,EVER-001-29
2000 Spr,China,USA,Gheorghe Dijmarescu,N Col-NE Ridge,Success,1,,EVER-001-30
2000 Spr,China,Spain,Sebastian Alvaro,N Col-NE Ridge,Bad Weather,,,EVER-001-31
2000 Spr,China,"Switzerland, Czech Republic, Germany, Nepal, New Zealand",Karl Kobler,N Col-NE Ridge,Success,5,,EVER-001-32
2000 Spr,China,"New Zealand, China, France, Mexico, Switzerland, UK, USA",Russell Brice,N Col-NE Ridge,Bad Conditions,,,EVER-001-33
2000 Spr,China,Canada,Francois Loubert,N Col-NE Ridge,Bad Weather,,,EVER-001-34
2000 Spr,China,Japan,Hiroshi Yashima,N Col-NE Ridge,Success,12,,EVER-001-35
2000 Spr,China,"Russia, UK",Viatcheslav Skripko,N Col-NE Ridge,Success,1,,EVER-001-36
2000 Spr,China,Poland,Jacek Berbeka,N Col-NE Ridge,Bad Weather,,,EVER-001-37
2000 Spr,China,"UK, New Zealand",Ian Anderson,N Col-NE Ridge,Success,3,,EVER-001-38
2000 Spr,China,Japan,Yoshio Maruyama,N Col-NE Ridge,Bad Weather,,,EVER-001-39
2000 Spr,China,"UK, Australia, Netherlands, New Zealand",David Allason-Pritt,N Col-NE Ridge,Success,2,,EVER-001-40
2000 Spr,China,Japan,Ken Noguchi,N Col-NE Ridge,Other,,,EVER-001-41
2000 Spr,China,"Russia, Ukraine",Ivan Aristov,N Col-NE Ridge,Success,12,,EVER-001-42
2000 Spr,China,China,Yan Geng-Hua,N Col-NE Ridge,Success,2,1,EVER-001-43
2000 Spr,China,China,Nyima Tsering,N Col-NE Ridge,Route Difficulty,,,EVER-001-44
2000 Spr,China,China,"Wangyal, Gaya",N Col-NE Ridge,Other,,,EVER-001-45
2000 Spr,China,Georgia,Gia Tortladze,N Col-NE Ridge,Bad Weather,,,EVER-001-46
2000 Spr,China,Denmark,Per Bager,N Col-NE Ridge,Accident,,1,EVER-001-47
2000 Spr,China,Spain,Miguel Angel Vidal,N Col-NE Ridge,Bad Weather,,,EVER-001-48
2000 Spr,China,Netherlands,Hans Van Der Meulen,N Col-NE Ridge,Bad Weather,,,EVER-001-49
2000 Spr,China,Austria,Wilfried Studer,N Col-NE Ridge,Bad Weather,,,EVER-001-50
2000 Spr,China,Austria,Hans Goger,N Col-NE Ridge,Bad Weather,,,EVER-001-51
2000 Spr,China,"Andorra, Spain",Nani Duro,N Col-NE Ridge,Bad Weather,,,EVER-001-52
2000 Spr,China,Italy,Silvio Mondinelli,N Col-NE Ridge,Bad Weather,,,EVER-001-53
2000 Spr,China,Spain,Inaki Ochoa,N Col-NE Ridge,Bad Weather,,,EVER-001-54
2000 Spr,China,"Spain, Argentina",Guillermo Banales,N Col-NE Ridge,Success,2,,EVER-001-55
2000 Spr,China,"Germany, Austria",Thomas Laemmle,N Col-NE Ridge,Bad Weather,,,EVER-001-56
2000 Spr,China,Italy,Alessando Gogna,N Col,Did not Climb,,,EVER-001-57
2000 Aut,Nepal,Slovenia,Davo Karnicar,S Col-SE Ridge,Success,7,,EVER-003-01
2000 Aut,Nepal,S Korea,Yoon Hong-Keun,S Col-SE Ridge,Success,3,,EVER-003-02
2000 Aut,Nepal,S Korea,Kim Young-Moon,S Col-SE Ridge,Success,2,,EVER-003-03
2000 Aut,China,S Korea,Chang Byoung-Ho,N Col-NE Ridge,Bad Weather,,,EVER-003-04
2001 Spr,Nepal,"USA, Canada",Brant Didden,S Col-SE Ridge,Success,4,1,EVER-011-01
2001 Spr,Nepal,"Canada, Spain, USA",Ben Webster,S Col-SE Ridge,Success,8,,EVER-011-02
2001 Spr,Nepal,Canada,Tim Rippel,S Col-SE Ridge,Success,2,,EVER-011-03
2001 Spr,Nepal,Argentina,Juan Benegas,S Col-SE Ridge,Bad Weather,,,EVER-011-04
2001 Spr,Nepal,"Canada, Peru, USA",Jason Edwards,S Col-SE Ridge,Success,14,,EVER-011-05
2001 Spr,Nepal,Chile,Vivianne Cuq Maggi,S Col-SE Ridge,Success,9,,EVER-011-06
2001 Spr,Nepal,USA,Greg Wilson,S Col-SE Ridge,Success,4,,EVER-011-07
2001 Spr,Nepal,"USA, Australia, UK",Willie Benegas,S Col-SE Ridge,Success,7,,EVER-011-08
2001 Spr,Nepal,USA,Pasquale Scaturro,S Col-SE Ridge,Success,19,,EVER-011-09
2001 Spr,Nepal,"USA, Canada, Turkey, UK",Mike Trueman,S Col-SE Ridge,Success,4,,EVER-011-10
2001 Spr,Nepal,Nepal,Ramesh Man Dongol,S Col-SE Ridge,"Illness, AMS",,,EVER-011-11
2001 Spr,Nepal,Austria,Peter Ganner,S Col-SE Ridge,Accident,,1,EVER-011-12
2001 Spr,Nepal,"Germany, Austria",Peter Guggemos,S Col-SE Ridge,Bad Conditions,,,EVER-011-13
2001 Spr,Nepal,Japan,Seizo Imanari,S Col-SE Ridge,Bad Weather,,,EVER-011-14
2001 Spr,Nepal,India,Harish Chander Kohli,S Col-SE Ridge,Lack of Supplies,,,EVER-011-15
2001 Spr,Nepal,Germany,Goetz Wiegand,S Col-SE Ridge,Success,1,,EVER-011-16
2001 Spr,Nepal,Spain,Carlos Soria Fontan,S Col-SE Ridge,Success,1,,EVER-011-17
2001 Spr,Nepal,Spain,Francisco Goni,S Col-SE Ridge,Success,5,,EVER-011-18
2001 Spr,Nepal,Spain,Isidoro Rodriguez,S Col-SE Ridge,Success,3,,EVER-011-19
2001 Spr,Nepal,"Spain, Ecuador, Italy",Edurne Pasaban,S Col-SE Ridge,Success,5,,EVER-011-20
2001 Spr,Nepal,"India, Nepal",Krishan Kumar,S Col-SE Ridge,Success,15,,EVER-011-21
2001 Spr,China,"UK, Australia, Ireland, New Zealand",Terence Stubbs,N Col-NE Ridge,Success,2,,EVER-011-22
2001 Spr,China,"France, Switzerland",Bertrand Roche,N Col-NE Ridge,Success,4,,EVER-011-23
2001 Spr,China,"USA, UK",Walter Keller,N Col-NE Ridge,Other,,,EVER-011-24
2001 Spr,China,USA,Craig John,N Col,Did not Climb,,,EVER-011-25
2001 Spr,China,Australia,Duncan Chessell,N Col-NE Ridge,Success,2,1,EVER-011-26
2001 Spr,China,"USA, Australia, Canada, Mexico",Fabrizio Zangrilli,N Col-NE Ridge,Lack of Supplies,,,EVER-011-27
2001 Spr,China,"USA, Germany",Eric Simonson,N Col-NE Ridge,Lack of Supplies,,,EVER-011-28
2001 Spr,China,USA,Terrence Lafrance,N Col-NE Ridge,Success,6,,EVER-011-29
2001 Spr,China,"Australia, New Zealand",Zac Zaharias,N Col-NE Ridge,Success,3,,EVER-011-30
2001 Spr,China,"New Zealand, Australia, Canada, Denmark, France, Guatemala, Italy, Japan, Switzerland, UK, USA",Russell Brice,N Col-NE Ridge,Success,15,,EVER-011-31
2001 Spr,China,Austria,Wilfried Studer,N Col-NE Ridge,"Illness, AMS",,,EVER-011-32
2001 Spr,China,Spain,Sergei Mingote Moreno (on David Rosa's permit),N Col-NE Ridge,Success,2,,EVER-011-33
2001 Spr,China,UK,Ted Atkins,N Col-NE Ridge,Success,2,,EVER-011-34
2001 Spr,China,"France, Kuwait",Bernard Muller,N Col-NE Ridge,Success,12,,EVER-011-35
2001 Spr,China,Spain,Juanito Oiarzabal,N Col-NE Ridge,Success,3,,EVER-011-36
2001 Spr,China,Spain,David Rosa,N Col-NE Ridge,Success,2,,EVER-011-37
2001 Spr,China,UK,Ian Roberts,N Col-NE Ridge,Bad Weather,,,EVER-011-38
2001 Spr,China,Brazil,Paulo Coelho,N Col-NE Ridge,Bad Weather,,,EVER-011-39
2001 Spr,China,Japan,Itsuo Ota,N Col-NE Ridge,Bad Conditions,,,EVER-011-40
2001 Spr,China,Nepal,Temba Tsheri Sherpa,N Col-NE Ridge,Success,1,,EVER-011-41
2001 Spr,China,Georgia,Gia Tortladze,N Col-NE Ridge,Success,2,,EVER-011-42
2001 Spr,China,"USA, Nepal","Gheorghe Dijmarescu, Lakpa Sherpa",N Col-NE Ridge,Success,2,,EVER-011-43
2001 Spr,China,"Singapore, Brazil",David Lim,N Col-NE Ridge,"Illness, AMS",,,EVER-011-44
2001 Spr,China,Venezuela,Jose Delgado,N Col-NE Ridge,Success,4,,EVER-011-45
2001 Spr,China,"Japan, S Korea",Ken Noguchi,N Col-NE Ridge,Bad Weather,,,EVER-011-46
2001 Spr,China,Colombia,Juan Pablo Ruiz,N Col-NE Ridge,Success,4,,EVER-011-47
2001 Spr,China,Russia,Dmitri Bochkov,N Col-NE Ridge,Success,8,1,EVER-011-48
2001 Spr,China,"India, Nepal",Santosh Yadav,Left slope of E Ridge (to 6800m) / E Ridge (to 6900m),Bad Weather,,,EVER-011-49
2001 Spr,China,"Austria, Germany, Luxembourg, USA",Stefan Gatt,N Col-NE Ridge,Success,7,,EVER-011-50
2001 Spr,China,Australia,Theodore Kossart,N Col-NE Ridge,"Illness, AMS",,,EVER-011-51
2001 Aut,China,"USA, Canada","Jim Wickwire, Ed Hommer",N Col-NE Ridge,Bad Weather,,,EVER-013-01
2001 Aut,China,Hungary,David Klein,E Face,Bad Conditions,,,EVER-013-02
2001 Aut,China,Hungary,Laszlo Mecs,N Col-NE Ridge,Accident,,1,EVER-013-03
2002 Spr,China,Japan,Tomiyasu Ishikawa,N Col-NE Ridge,Success,3,,EVER-021-01
2002 Spr,China,Japan,Sohei Higuchi,N Col-NE Ridge,Success,2,,EVER-021-02
2002 Spr,China,"Russia, Bulgaria, Germany, Mexico, USA, Yugoslavia","Viachoslav Skripko, Borislav Dimitrov",N Col-NE Ridge,Route Difficulty,,1,EVER-021-03
2002 Spr,China,Japan,Shinji Sato,N Col-NE Ridge,Success,7,,EVER-021-04
2002 Spr,China,Brazil,Paulo Coelho,N Col-NE Ridge,Bad Weather,,,EVER-021-05
2002 Spr,China,Czech Republic,Miroslav Caban,N Col-NE Ridge,Success,1,,EVER-021-06
2002 Spr,China,Russia,Gennady Kirievsky,N Col-NE Ridge,Success,6,,EVER-021-07
2002 Spr,China,S Korea,Kim Bo-Youl,N Col-NE Ridge,Success,4,,EVER-021-08
2002 Spr,China,USA,Tim Gregg,N Col-NE Ridge,Bad Conditions,,,EVER-021-09
2002 Spr,China,Italy,Simone Moro,N Col-NE Ridge,Success,3,,EVER-021-10
2002 Spr,China,Netherlands,Hans Van der Meulen,N Col-NE Ridge,Success,1,,EVER-021-11
2002 Spr,China,France,Robert Larrandaburu,N Col-NE Ridge,Success,3,,EVER-021-12
2002 Spr,China,Spain,Jorge Egocheaga,N Col-NE Ridge,Success,2,,EVER-021-13
2002 Spr,China,Germany,Hartmut Bielefeldt,N Col-NE Ridge,Success,2,,EVER-021-14
2002 Spr,China,"New Zealand, Canada, China, France, Japan, Spain",Russell Brice,N Col-NE Ridge,Success,3,,EVER-021-15
2002 Spr,China,"Switzerland, France, Italy",Karl Kobler,N Col-NE Ridge,Success,11,,EVER-021-16
2002 Spr,China,Switzerland,Daniel Perler,N Col-NE Ridge,Success,2,,EVER-021-17
2002 Spr,China,Italy,Marco Chiantore,N Col-NE Ridge,"Illness, AMS",,,EVER-021-18
2002 Spr,China,"UK, Ireland",David Pritt,N Col-NE Ridge,Success,3,,EVER-021-19
2002 Spr,China,Austria,Wilfried Studer,N Col-NE Ridge,Bad Weather,,,EVER-021-20
2002 Spr,China,"Switzerland, Germany",Michael Borrmann,N Col-NE Ridge,Bad Weather,,,EVER-021-21
2002 Spr,China,"UK, Ireland",Gavin Bate,N Col-NE Ridge,"Illness, AMS",,,EVER-021-22
2002 Spr,China,Switzerland,Mathias Baumann,N Col-NE Ridge,Route Difficulty,,,EVER-021-23
2002 Spr,China,Mexico,Alejandro Villarreal,N Col-NE Ridge,Success,2,,EVER-021-24
2002 Spr,China,Mexico,Jorge Hermosillo,N Col-NE Ridge,Success,4,,EVER-021-25
2002 Spr,China,Mexico,Mauricio Lopez,N Col-NE Ridge,Success,2,,EVER-021-26
2002 Spr,China,USA,Adrian Nature,N Col-NE Ridge,Route Difficulty,,,EVER-021-27
2002 Spr,China,USA,Gheorghe Dijmarescu,N Col-NE Ridge,Success,1,,EVER-021-28
2002 Spr,Nepal,USA,Eric Simonson,S Col-SE Ridge,Success,8,,EVER-021-29
2002 Spr,Nepal,"USA, Australia, Iceland, New Zealand",Bill Crouse,S Col-SE Ridge,Success,7,,EVER-021-30
2002 Spr,Nepal,France,Martine Larroque,S Col-SE Ridge,"Illness, AMS",,,EVER-021-31
2002 Spr,Nepal,Armenia,Igor Khalatian,S Col-SE Ridge,Success,3,,EVER-021-32
2002 Spr,Nepal,Italy,Alberto Magliano,S Col-SE Ridge,Success,2,,EVER-021-33
2002 Spr,Nepal,Japan,Noriyuki Muraguchi,S Col-SE Ridge,Success,5,,EVER-021-34
2002 Spr,Nepal,Nepal,Pemba Doma Thaktopa Sherpa,S Col-SE Ridge,Success,2,,EVER-021-35
2002 Spr,Nepal,"USA, Mexico, UK","Charlie Fowler, Hector Ponce de Leon",S Col-SE Ridge,Success,5,,EVER-021-36
2002 Spr,Nepal,S Korea,Um Hong-Gil,S Col-SE Ridge,Success,4,,EVER-021-37
2002 Spr,Nepal,"Switzerland, Australia, France",Stephane Schaffter,S Col-SE Ridge,Success,8,,EVER-021-38
2002 Spr,Nepal,"UK, Hungary, USA",Henry Todd,S Col-SE Ridge,Success,8,1,EVER-021-39
2002 Spr,Nepal,"USA, Canada, Ecuador, New Zealand, Switzerland",William Prittie,S Col-SE Ridge,Success,17,,EVER-021-40
2002 Spr,Nepal,"USA, New Zealand",Peter Athans,S Col-SE Ridge / W Ridge (to 7930m),Success,8,,EVER-021-41
2002 Spr,Nepal,USA,David Hahn,S Col-SE Ridge,Success,2,,EVER-021-42
2002 Spr,Nepal,USA,Sean Swarner,S Col-SE Ridge,Success,3,,EVER-021-43
2002 Spr,Nepal,"USA, Australia, Canada, Netherlands",Willie Benegas,S Col-SE Ridge,Success,9,,EVER-021-44
2002 Spr,China,China,Wang Tian-Han,N Col-NE Ridge,Success,1,,EVER-021-45
2002 Aut,China,France,Marco Siffredi,"N Col-NE Ridge (up), N Face (Hornbein) (down)",Success,4,1,EVER-023-01
2002 Aut,Nepal,Brazil,Waldemar Niclevicz,S Col-SE Ridge,Bad Weather,,,EVER-023-02
2002 Aut,China,Canada,Owen Davies,N Col-NE Ridge,Bad Conditions,,,EVER-023-03
2002 Aut,Nepal,Japan,Eiichi Usami,S Col-SE Ridge,Bad Conditions,,,EVER-023-04
2002 Aut,Nepal,S Korea,Lee Se-Jung,S Col-SE Ridge,Bad Conditions,,,EVER-023-05
2003 Spr,Nepal,Japan,Yuichiro Miura,S Col-SE Ridge,Success,9,,EVER-031-01
2003 Spr,China,Japan,Tateo Yamashita,N Col-NE Ridge,Bad Weather,,,EVER-031-02
2003 Spr,Nepal,Nepal,Ang Chhiring Sherpa,S Col-SE Ridge,Success,1,,EVER-031-03
2003 Spr,Nepal,"India, Nepal",Ashok Abbey (Indian team),S Col-SE Ridge,Success,16,,EVER-031-04
2003 Spr,Nepal,Nepal,Surya Sen Thakuri (Nepalese team),S Col-SE Ridge,Success,15,1,EVER-031-05
2003 Spr,Nepal,Japan,Kiyoshi Ishii,W Ridge,Bad Weather,,,EVER-031-06
2003 Spr,Nepal,USA,Robert Hoffman,S Col-SE Ridge,Success,11,,EVER-031-07
2003 Spr,Nepal,"USA, UK",David Hahn,S Col-SE Ridge,Success,8,,EVER-031-08
2003 Spr,China,USA,Steven Marolt,N Col-NE Ridge,Success,1,,EVER-031-09
2003 Spr,Nepal,USA,Choongok Sunwoo,S Col-SE Ridge,Bad Weather,,,EVER-031-10
2003 Spr,Nepal,"USA, Australia",Bill Crouse,S Col-SE Ridge,Success,3,,EVER-031-11
2003 Spr,Nepal,USA,Charles Wittmack,S Col-SE Ridge,Success,2,,EVER-031-12
2003 Spr,Nepal,"USA, Canada, UK","Willi Prittie, Vernon Tejas",S Col-SE Ridge,Success,14,,EVER-031-13
2003 Spr,Nepal,"France, Italy",Jean-Michel Asselin,S Col-SE Ridge,Success,7,1,EVER-031-14
2003 Spr,Nepal,Belgium,Robert Huygh,S Col-SE Ridge,Success,4,,EVER-031-15
2003 Spr,Nepal,Spain,Rosa Maria Fernandez,S Col-SE Ridge,Bad Weather,,,EVER-031-16
2003 Spr,China,Italy,Tarcisio Bello,N Col-NE Ridge,Success,1,,EVER-031-17
2003 Spr,Nepal,Spain,Jesus Elena Vera,S Col-SE Ridge,Success,3,,EVER-031-18
2003 Spr,Nepal,Germany,Peter Guggemos,S Col-SE Ridge,Bad Weather,,,EVER-031-19
2003 Spr,Nepal,Italy,Renzo Benedetti,S Col-SE Ridge,Bad Weather,,,EVER-031-20
2003 Spr,Nepal,"Germany, Switzerland",Eckhard Schmitt,S Col-SE Ridge,Success,4,,EVER-031-21
2003 Spr,Nepal,"Italy, USA",Manuel Lugli,S Col-SE Ridge,Success,2,,EVER-031-22
2003 Spr,China,"India, Bhutan, Nepal",Vijay Singh Thakur,N Col-NE Ridge,Success,2,,EVER-031-23
2003 Spr,Nepal,"USA, Australia, Canada",Gary Guller,S Col-SE Ridge,Success,5,1,EVER-031-24
2003 Spr,Nepal,USA,Paul Giorgio,S Col-SE Ridge,Success,5,,EVER-031-25
2003 Spr,Nepal,"Belgium, France, Switzerland",Bernard De Launoit,S Col-SE Ridge,Success,7,,EVER-031-26
2003 Spr,Nepal,Canada,Christopher Allen,S Col-SE Ridge,"Illness, AMS",,,EVER-031-27
2003 Spr,Nepal,S Africa,Alex Harris,S Col-SE Ridge,Success,1,,EVER-031-28
2003 Spr,Nepal,USA,Sean Burch,S Col-SE Ridge,Success,2,,EVER-031-29
2003 Spr,Nepal,UK,John Baker,S Col-SE Ridge,Success,4,,EVER-031-30
2003 Spr,Nepal,"UK, USA",Henry Todd,S Col-SE Ridge,Success,5,,EVER-031-31
2003 Spr,Nepal,Canada,Glenn Edwards,S Col-SE Ridge,"Illness, AMS",,,EVER-031-32
2003 Spr,Nepal,"Ireland, UK",Pat Falvey,S Col-SE Ridge,Success,4,,EVER-031-33
2003 Spr,Nepal,"USA, Canada, Mexico, Netherlands, Norway, S Africa, UK",Robert Anderson,S Col-SE Ridge,Success,10,,EVER-031-34
2003 Spr,China,USA,Benjamin Clark,N Col-NE Ridge,Success,3,,EVER-031-35
2003 Spr,China,USA,Adrian Nature,N Col-NE Ridge,Lack of Supplies,,,EVER-031-36
2003 Spr,China,UK,Nick Arding,N Col-NE Ridge,Success,2,,EVER-031-37
2003 Spr,China,"UK, Ireland, New Zealand",Richard Dougan,N Col-NE Ridge,Success,2,,EVER-031-38
2003 Spr,China,USA,Jim Wickwire,N Col-NE Ridge,Success,4,,EVER-031-39
2003 Spr,Nepal,Japan,Yasunari Yamashita,S Col-SE Ridge,Success,7,,EVER-031-40
2003 Spr,China,"New Zealand, Australia, China, Germany, Kuwait, UK, USA",Russell Brice,N Col-NE Ridge,Success,12,,EVER-031-41
2003 Spr,China,"USA, Australia, Canada, Spain",Craig John,N Col-NE Ridge,Success,3,,EVER-031-42
2003 Spr,China,"UK, Germany, S Africa",Terence Stubbs,N Col-NE Ridge,Lack of Supplies,,,EVER-031-43
2003 Spr,China,"USA, New Zealand",Russell Brice,N Col-NE Ridge,Success,12,,EVER-031-44
2003 Spr,China,"UK, S Africa",Ian Woodall,E Ridge,Route Difficulty,,,EVER-031-45
2003 Spr,China,Brazil,Paulo Coelho,N Col-NE Ridge,Bad Weather,,,EVER-031-46
2003 Spr,China,France,Denis Etienne,N Col-NE Ridge,Success,2,,EVER-031-47
2003 Spr,China,France,"Olivier Besson, Pierre Blanc",N Col-NE Ridge,Success,3,,EVER-031-48
2003 Spr,China,Spain,Alberto Rodriguez,NE Ridge,Success,2,,EVER-031-49
2003 Spr,China,France,"Bertrand Camus, Alain Paret",N Col-NE Ridge,Bad Weather,,,EVER-031-50
2003 Spr,China,Spain,Martin Ramos Garcia,N Col-NE Ridge,Bad Weather,,,EVER-031-51
2003 Spr,China,"Switzerland, Austria, France",Karl Kobler,N Col-NE Ridge,Bad Weather,,,EVER-031-52
2003 Spr,Nepal,Spain,Sergi Mingote Moreno,S Col-SE Ridge,Success,3,,EVER-031-53
2003 Spr,China,"Russia, Georgia",Alexander Abramov,N Col-NE Ridge,Success,3,,EVER-031-54
2003 Spr,China,Russia,Viatcheslav Skripko,N Col-NE Ridge,Lack of Supplies,,,EVER-031-55
2003 Spr,China,Belgium,Andre Menu,N Col-NE Ridge,Bad Weather,,,EVER-031-56
2003 Spr,Nepal,S Korea,Kim Jong-Gyu,S Col-SE Ridge,Bad Weather,,,EVER-031-57
2003 Spr,China,"Estonia, Lithuania",Toivo Sarmet,N Col-NE Ridge,Success,2,,EVER-031-58
2003 Spr,China,"Japan, France",Takashi Amemiya,N Col-NE Ridge,Success,11,,EVER-031-59
2003 Spr,China,Japan,Jun Yasamura,N Col-NE Ridge,Success,4,,EVER-031-60
2003 Spr,China,Poland,Krysztof Liszewski,N Col-NE Ridge,Accident,,1,EVER-031-61
2003 Spr,China,"Russia, Canada",Anatoli Moshnikov,N Col-NE Ridge,Success,1,,EVER-031-62
2003 Spr,China,Czech Republic,Petr Machold,N Col-NE Ridge,Bad Weather,,,EVER-031-63
2003 Spr,China,"Romania, Nepal, UK, USA",David Neacsu,N Col-NE Ridge,Success,11,,EVER-031-64
2003 Spr,China,China,Wang Yong-Feng,N Col-NE Ridge,Success,17,,EVER-031-65
2003 Spr,China,"S Korea, China",Kang Tae-Sun,N Col-NE Ridge,Success,10,,EVER-031-66
2003 Spr,Nepal,Spain,Josu Feijoo,S Col-SE Ridge,Bad Weather,,,EVER-031-67
2003 Spr,Nepal,"USA, Canada, UK",Scott Woolums,S Col-SE Ridge,Success,4,,EVER-031-68
2003 Spr,Nepal,Nepal,Ungdi Tshering Sherpa,S Col-SE Ridge,Bad Weather,,,EVER-031-69
2003 Spr,China,"UK, Australia, Ireland, USA",David Pritt,N Col-NE Ridge,Accident,,,EVER-031-70
2003 Spr,China,Austria,Wilfried Studer,N Col-NE Ridge,Bad Weather,,,EVER-031-71
2003 Sum,China,USA,Stephen Koch,N Face (Japanese & Hornbein Couloirs),Bad Conditions,,,EVER-032-01
2003 Sum,China,"Denmark, Sweden",Henning Bitsch,N Col,Bad Conditions,,,EVER-032-02
2003 Aut,Nepal,USA,Wally Berg,S Col-SE Ridge,Bad Weather,,,EVER-033-01
2004 Spr,Nepal,"Mexico, Canada","Andres Delgado, Alejandro Ochoa Reyes",S Col-SE Ridge,Success,5,,EVER-041-01
2004 Spr,Nepal,"USA, Malta",Jeffrey Justman,S Col-SE Ridge,Success,3,,EVER-041-02
2004 Spr,Nepal,"USA, Canada, Japan",Vernon Tejas,S Col-SE Ridge,Success,17,,EVER-041-03
2004 Spr,China,Netherlands,Wilco van Rooijen,N Col-NE Ridge,Success,2,,EVER-041-04
2004 Spr,China,"Greece, Cyprus, UK",Konstantinos Tsivelekas,N Col-NE Ridge,Success,7,,EVER-041-05
2004 Spr,China,France,Hugues d'Aubarede,N Col-NE Ridge,Success,2,,EVER-041-06
2004 Spr,China,Bulgaria,Metodi Savov,N Col-NE Ridge,Success,5,1,EVER-041-07
2004 Spr,China,Spain,Jose Sanz,N Col-NE Ridge,Bad Weather,,,EVER-041-08
2004 Spr,China,Bulgaria,Mariana Maslarova,N Col-NE Ridge,Accident,,1,EVER-041-09
2004 Spr,China,"Russia, Italy, USA, Uzbekistan",Alexander Abramov,N Col-NE Ridge,Success,5,,EVER-041-10
2004 Spr,China,Brazil,Paulo Coelho,N Col-NE Ridge,Bad Weather,,,EVER-041-11
2004 Spr,China,Austria,Josef Einwaller,N Col-NE Ridge,Bad Weather,,,EVER-041-12
2004 Spr,China,Austria,Wilfried Studer,N Col-NE Ridge,Bad Weather,,,EVER-041-13
2004 Spr,Nepal,"Switzerland, Austria",Kilian Volken,S Col-SE Ridge,Success,3,,EVER-041-14
2004 Spr,China,Italy,Giuseppe Pompili,N Col-NE Ridge,Success,4,,EVER-041-15
2004 Spr,China,"Austria, Germany",Paul Koller,N Col-NE Ridge,Success,1,,EVER-041-16
2004 Spr,China,Czech Republic,Miroslav Hrad,N Col-NE Ridge,"Illness, AMS",,,EVER-041-17
2004 Spr,China,France,Jacques Marmet,N Col-NE Ridge,Success,2,,EVER-041-18
2004 Spr,China,Russia,Viatcheslav Skripko,N Col-NE Ridge,Success,1,,EVER-041-19
2004 Spr,China,Italy,Daniele Nardi,N Face,Success,1,,EVER-041-20
2004 Spr,China,"France, Austria",Bertrand Roche,N Col-NE Ridge,Success,4,,EVER-041-21
2004 Spr,China,Mexico,Guillermo Carro Blaizac,N Col-NE Ridge,Success,1,,EVER-041-22
2004 Spr,Nepal,"UK, Australia, France, USA",Henry Todd,S Col-SE Ridge,Success,12,,EVER-041-23
2004 Spr,China,"S Africa, Norway, USA",Paul Firth,N Col-NE Ridge,Success,3,,EVER-041-24
2004 Spr,China,Denmark,Nick Nielsen,N Col-NE Ridge,Bad Weather,,,EVER-041-25
2004 Spr,Nepal,"Canada, Australia, Mexico",Benjamin Webster,S Col-SE Ridge,Success,6,,EVER-041-26
2004 Spr,China,"Russia, Uzbekistan",Victor Kozlov,N Face (up); NE Ridge-N Col (down),Success,8,,EVER-041-27
2004 Spr,China,"Italy, China",Soro Dorotei,N Col-NE Ridge,Success,13,,EVER-041-28
2004 Spr,China,India,Satyabrata Dam,N Col-NE Ridge,Success,12,,EVER-041-29
2004 Spr,China,"UK, USA",David Pritt,N Col-NE Ridge,Bad Weather,,,EVER-041-30
2004 Spr,China,Japan,Kenji Kondo,N Col-NE Ridge,Success,7,1,EVER-041-31
