Yr/Seas ,Host ,Nationalities ,Leader (s) ,Route(s) ,Result ,Smtrs ,Dead ,Exped ID 
2010 Spr,Nepal,"S Africa, Australia, New Zealand",Ronald Muhl,S Col-SE Ridge,Success,13,,EVER-101-46
2010 Spr,Nepal,Japan,Michihiro Kadoya,S Col-SE Ridge,Success,3,,EVER-101-47
2010 Spr,Nepal,"New Zealand, Ireland, S Africa, UK",Mike Roberts,S Col-SE Ridge,Success,12,,EVER-101-48
2010 Spr,Nepal,Canada,Elia Saikaly,S Col-SE Ridge,Success,5,,EVER-101-49
2010 Spr,China,"New Zealand, Mexico, S Africa, USA",Jamie McGuinness,N Col-NE Ridge,Success,4,,EVER-101-50
2010 Spr,China,"Germany, Austria",Ralf Dujmovits,N Face (Japanese & Hornbein Couloirs) (to 6750m) / N Col-NE Ridge,Success,1,,EVER-101-51
2010 Spr,China,S Africa,Sean Disney,N Col-NE Ridge,Success,13,,EVER-101-52
2010 Spr,China,"Switzerland, Austria, Germany, Mexico",Karl Kobler,N Col-NE Ridge,Success,13,,EVER-101-53
2010 Spr,Nepal,"UK, Australia, France, Finland, USA",Phil Crampton,S Col-SE Ridge,Success,10,,EVER-101-54
2010 Spr,Nepal,Australia,Patrick Hollingworth,S Col-SE Ridge,Success,5,,EVER-101-55
2010 Spr,Nepal,Nepal,Pushkar Shah,S Col-SE Ridge,Success,4,,EVER-101-56
2010 Spr,Nepal,"UK, Australia, USA",Kenton Cool,S Col-SE Ridge,Success,8,,EVER-101-57
2010 Spr,Nepal,"UK, Germany, Hungary, USA",Rob Casserley,S Col-SE Ridge,Success,16,,EVER-101-58
2010 Spr,Nepal,"UK, Canada, Norway, USA",Robert Anderson,S Col-SE Ridge,Success,14,,EVER-101-59
2010 Spr,Nepal,Nepal,Ang Chhiring Sherpa,S Col-SE Ridge,Success,2,,EVER-101-60
2010 Spr,Nepal,"UK, Brazil, Malta",Victor Saunders,S Col-SE Ridge,Success,8,,EVER-101-61
2010 Spr,China,France,Marc Batard,N Col-NE Ridge,"Illness, AMS",,,EVER-101-62
2010 Spr,Nepal,USA,Chad Kellogg,S Col-SE Ridge,Bad Weather,,,EVER-101-63
