date,time,hour_of_the_day_,part_of_body,side,number_of_times,type,location,datetime
Feb 15,14:56,14,Sleeve,Right,1,,School,2026-02-15 14:56:00
Feb 15,15:12,15,Hand,Right,1,,School,2026-02-15 15:12:00
Feb 15,15:29,15,Hand,Left,1,,School,2026-02-15 15:29:00
Feb 15,15:56,15,Sleeve,Right,2,,School,2026-02-15 15:56:00
Feb 15,16:06,16,Hand,Right,1,,School,2026-02-15 16:06:00
Feb 15,16:09,16,Hand,Right,1,,School,2026-02-15 16:09:00
Feb 15,16:32,16,Hand,Left,1,,School,2026-02-15 16:32:00
Feb 15,16:33,16,Hand,Left,1,,School,2026-02-15 16:33:00
Feb 15,16:38,16,Hand,Right,1,,School,2026-02-15 16:38:00
Feb 15,17:04,17,Hand,Left,2,,School,2026-02-15 17:04:00
Feb 15,17:27,17,Hand,Right,1,Scracth,School,2026-02-15 17:27:00
Feb 15,17:34,17,Hand,Right,3,Pinch,School,2026-02-15 17:34:00
Feb 15,17:34,17,Hand,Right,1,Flick,School,2026-02-15 17:34:00
Feb 15,17:55,17,Hand,Right,1,Scracth,Commute,2026-02-15 17:55:00
Feb 15,17:58,17,Hand,Right,1,Pinch,Commute,2026-02-15 17:58:00
Feb 15,18:08,18,Hand,Right,1,Pinch,Commute,2026-02-15 18:08:00
Feb 15,18:39,18,Hand,Right,2,Brush,Commute,2026-02-15 18:39:00
Feb 15,21:58,21,Sleeve,Right,1,Brush,Event,2026-02-15 21:58:00
Feb 15,22:36,22,Sleeve,Right,1,Pinch,Event,2026-02-15 22:36:00
Feb 15,22:40,22,Sleeve,Left,1,Pinch,Event,2026-02-15 22:40:00
Feb 15,22:41,22,Hand,Left,1,Pinch,Event,2026-02-15 22:41:00
Feb 15,22:49,22,Hand,Left,1,Brush,Event,2026-02-15 22:49:00
Feb 15,23:08,23,Hand,Right,1,Pinch,Event,2026-02-15 23:08:00
Feb 15,23:21,23,Hand,Right,1,Scracth,Event,2026-02-15 23:21:00
Feb 15,23:45,23,Hand,Right,1,Flick,Event,2026-02-15 23:45:00
Feb 15,23:48,23,Hand,Left,1,Scracth,Commute,2026-02-15 23:48:00
Feb 15,23:52,23,Hand,Left,1,Flick,Commute,2026-02-15 23:52:00
Feb 16,9:26,9,Hand,Right,1,Flick,Home,2026-02-16 09:26:00
Feb 16,9:44,9,Hand,Right,1,Flick,Home,2026-02-16 09:44:00
Feb 16,9:53,9,Hand,Left,1,Flick,Home,2026-02-16 09:53:00
Feb 16,10:02,10,Hand,Right,1,Flick,Home,2026-02-16 10:02:00
Feb 16,10:29,10,Hand,Right,3,Brush,Commute,2026-02-16 10:29:00
Feb 16,10:33,10,Hand,Right,1,Brush,Commute,2026-02-16 10:33:00
Feb 16,10:34,10,Hand,Right,1,Brush,Commute,2026-02-16 10:34:00
Feb 16,10:50,10,Hand,Left,1,Brush,Commute,2026-02-16 10:50:00
Feb 16,10:56,10,Hand,Right,1,Brush,Gym,2026-02-16 10:56:00
Feb 16,11:20,11,Shoulder,Right,1,Brush,Gym,2026-02-16 11:20:00
Feb 16,11:33,11,Shoulder,Right,1,Brush,Gym,2026-02-16 11:33:00
Feb 16,11:35,11,Hand,Right,1,Scracth,Gym,2026-02-16 11:35:00
Feb 16,11:36,11,Hand,Left,1,Scracth,Gym,2026-02-16 11:36:00
Feb 16,12:39,12,Hand,Right,1,Pinch,Gym,2026-02-16 12:39:00
Feb 16,13:09,13,Hand,Right,2,Pinch,Meal,2026-02-16 13:09:00
